N;educ;south;nonwhite;female;married;exper;union;lwage;age;year;y85
725;12;0;0;1;1;14;0;1.6094;32;85;1
726;18;0;0;0;1;14;0;3.1135;38;85;1
727;12;0;0;1;1;11;0;2.4849;29;85;1
728;12;0;0;1;1;38;0;1.8374;56;85;1
729;12;0;0;1;0;3;0;1.5041;21;85;1
730;12;0;0;0;1;9;0;1.7918;27;85;1
731;10;0;0;0;1;13;0;1.9095;29;85;1
732;12;0;0;0;0;9;0;2.1691;27;85;1
733;16;0;0;0;1;11;0;2.5859;33;85;1
734;13;0;0;1;1;30;0;1.8326;49;85;1
735;12;0;0;1;0;15;1;2.1961;33;85;1
736;14;0;0;0;0;2;0;2.0149;22;85;1
737;17;0;0;1;1;24;0;2.4849;47;85;1
738;18;0;0;1;0;31;1;2.6391;55;85;1
739;14;0;0;0;0;19;0;2.7988;39;85;1
740;14;0;0;0;0;2;0;1.8326;22;85;1
741;12;0;0;0;1;4;1;2.3514;22;85;1
742;9;0;0;1;1;46;1;2.2513;61;85;1
743;6;0;0;1;1;43;1;1.0986;55;85;1
744;14;0;0;1;1;13;0;2.2214;33;85;1
745;12;0;0;1;0;15;0;1.3863;33;85;1
746;12;0;0;1;0;16;0;1.335;34;85;1
747;12;0;0;1;1;19;0;1.7918;37;85;1
748;12;0;0;1;1;28;0;1.6094;46;85;1
749;12;0;0;0;1;42;0;2.708;60;85;1
750;11;0;0;1;0;45;1;1.7138;62;85;1
751;16;0;1;0;1;7;0;2.1972;29;85;1
752;17;0;0;0;1;31;0;3.2179;54;85;1
753;12;0;0;1;1;24;0;2.1389;42;85;1
754;14;0;0;1;1;17;0;1.6094;37;85;1
755;12;0;0;0;1;26;1;3.1001;44;85;1
756;16;0;1;0;1;5;1;2.2235;27;85;1
757;16;0;0;1;1;17;0;2.0794;39;85;1
758;10;1;0;1;0;33;0;1.2528;49;85;1
759;13;1;0;1;1;2;0;1.209;21;85;1
760;16;1;1;1;1;14;0;1.209;36;85;1
761;16;1;0;1;1;28;1;2.9957;50;85;1
762;12;1;0;1;0;46;0;1.3863;64;85;1
763;16;1;0;0;1;38;0;2.8904;60;85;1
764;13;1;0;1;0;0;0;1.5041;19;85;1
765;12;1;0;1;0;1;0;2.0557;19;85;1
766;12;1;0;1;1;5;0;0.5596;23;85;1
767;18;1;0;1;1;13;0;1.6487;37;85;1
768;10;1;0;0;0;19;0;2.1691;35;85;1
769;12;1;0;0;1;5;0;1.6094;23;85;1
770;12;1;1;1;1;6;0;1.3218;24;85;1
771;13;1;0;0;1;9;0;1.7834;28;85;1
772;12;1;0;0;0;7;0;1.3863;25;85;1
773;3;1;0;0;1;55;0;1.9459;64;85;1
774;17;1;0;1;0;1;0;1.6094;24;85;1
775;6;1;1;1;0;33;0;1.5304;45;85;1
776;12;1;0;1;1;21;0;1.7492;39;85;1
777;18;0;0;0;1;29;0;3.2179;53;85;1
778;18;0;0;0;1;7;0;2.7593;31;85;1
779;16;0;0;0;0;10;0;2.7444;32;85;1
780;16;0;0;0;0;9;0;1.209;31;85;1
781;18;0;0;0;1;7;0;2.8994;31;85;1
782;18;0;0;0;0;33;1;2.0794;57;85;1
783;13;0;0;0;0;31;0;1.7918;50;85;1
784;18;0;0;0;1;5;0;2.8478;29;85;1
785;16;0;0;1;0;2;0;1.7047;24;85;1
786;12;0;0;0;0;20;0;2.0347;38;85;1
787;16;0;1;0;0;4;0;1.8326;26;85;1
788;12;0;0;1;1;45;0;1.8563;63;85;1
789;12;0;0;1;1;24;0;1.8839;42;85;1
790;12;0;0;0;1;43;0;2.5257;61;85;1
791;18;0;0;0;1;10;0;2.5903;34;85;1
792;12;0;0;0;0;3;0;1.7047;21;85;1
793;15;0;0;0;0;5;0;2.4204;26;85;1
794;12;0;0;1;0;45;0;2.3632;63;85;1
795;12;0;1;1;1;43;1;2.0794;61;85;1
796;17;0;0;1;1;26;1;2.3224;49;85;1
797;12;0;0;1;1;42;0;1.7561;60;85;1
798;12;0;0;0;1;37;0;1.9879;55;85;1
799;14;0;0;1;0;1;0;3.7955;21;85;1
800;13;0;0;1;1;14;0;2.3514;33;85;1
801;12;0;0;0;1;8;0;2.2364;26;85;1
802;12;0;0;1;1;24;0;1.6487;42;85;1
803;12;0;0;1;1;20;0;1.4469;38;85;1
804;17;0;0;1;0;13;1;2.7695;36;85;1
805;15;0;0;0;1;12;0;3.1135;33;85;1
806;16;1;0;1;1;4;0;1.6094;26;85;1
807;12;1;1;0;1;14;0;1.6677;32;85;1
808;18;1;0;0;1;14;0;1.8326;38;85;1
809;18;1;0;1;0;13;0;2.3026;37;85;1
810;12;1;0;0;1;20;0;1.7047;38;85;1
811;9;1;0;1;1;30;0;1.9169;45;85;1
812;12;1;0;1;1;28;0;1.0986;46;85;1
813;16;1;0;0;1;14;1;2.3026;36;85;1
814;10;1;0;0;0;13;0;1.579;29;85;1
815;12;1;0;0;1;32;0;2.2425;50;85;1
816;15;1;0;1;0;26;0;1.7918;47;85;1
817;13;1;0;1;0;0;0;1.4469;19;85;1
818;14;1;0;0;1;12;1;2.3997;32;85;1
819;12;1;1;1;1;32;0;2.4982;50;85;1
820;12;1;0;0;1;12;0;2.1318;30;85;1
821;12;1;0;0;0;3;0;2.4361;21;85;1
822;9;1;0;0;1;29;0;2.9947;44;85;1
823;14;1;0;1;0;10;0;1.9279;30;85;1
824;12;0;0;1;1;16;1;1.743;34;85;1
825;12;0;0;1;1;8;0;1.209;26;85;1
826;9;0;0;1;1;16;0;1.579;31;85;1
827;12;0;0;1;1;15;0;1.7492;33;85;1
828;12;0;0;1;1;18;0;1.6864;36;85;1
829;12;0;0;1;1;38;0;2.577;56;85;1
830;12;0;0;1;1;13;0;2.4262;31;85;1
831;13;0;0;0;1;18;0;2.1691;37;85;1
832;12;0;0;0;1;19;1;2.5031;37;85;1
833;10;0;0;0;1;15;0;1.6582;31;85;1
834;14;1;0;0;0;5;0;1.7148;25;85;1
835;12;1;0;1;1;36;0;1.5239;54;85;1
836;12;1;0;0;1;38;0;2.0149;56;85;1
837;12;1;0;0;0;5;0;2.4849;23;85;1
838;12;1;0;0;1;35;1;2.7726;53;85;1
839;11;1;1;0;0;3;0;1.209;20;85;1
840;10;1;0;0;0;27;0;1.4929;43;85;1
841;12;1;0;1;1;29;0;1.4469;47;85;1
842;10;1;1;1;1;38;0;2.5726;54;85;1
843;10;1;0;0;1;9;0;1.9459;25;85;1
844;6;1;0;0;1;45;0;1.7492;57;85;1
845;8;1;0;0;1;27;0;1.8718;41;85;1
846;12;1;1;0;1;20;0;2.0293;38;85;1
847;16;1;0;0;1;14;1;3.0204;36;85;1
848;12;1;0;0;0;1;0;1.8326;19;85;1
849;11;1;1;1;1;25;0;1.3455;42;85;1
850;14;1;0;0;1;21;0;2.8124;41;85;1
851;17;0;0;1;0;10;0;2.4204;33;85;1
852;14;0;0;0;0;2;0;1.7317;22;85;1
853;11;0;0;0;0;17;0;1.8718;34;85;1
854;12;0;0;1;1;24;0;2.0477;42;85;1
855;12;0;0;0;1;26;1;1.9359;44;85;1
856;12;0;0;0;1;39;1;2.708;57;85;1
857;7;0;1;0;1;42;1;1.9459;55;85;1
858;7;1;0;0;1;43;0;1.209;56;85;1
859;12;1;0;0;0;5;0;1.8718;23;85;1
860;16;1;0;1;1;7;0;1.8326;29;85;1
861;13;1;0;1;1;6;0;1.6094;25;85;1
862;13;1;1;1;0;1;0;1.2384;20;85;1
863;14;1;0;0;1;41;0;2.1748;61;85;1
864;16;1;0;1;1;4;0;2.3026;26;85;1
865;11;1;0;1;1;25;1;1.3863;42;85;1
866;12;1;0;1;1;39;0;2.2513;57;85;1
867;14;1;0;1;1;15;0;2.3447;35;85;1
868;18;1;0;0;1;10;0;1.6506;34;85;1
869;12;1;0;1;0;20;0;2.0149;38;85;1
870;17;1;0;0;1;2;0;1.9459;25;85;1
871;11;1;1;0;1;28;1;2.3777;45;85;1
872;10;1;0;0;1;27;1;2.1861;43;85;1
873;16;1;0;1;0;13;0;1.3218;35;85;1
874;15;1;0;0;0;4;0;1.3218;25;85;1
875;12;0;0;0;0;13;0;2.246;31;85;1
876;12;0;0;0;1;33;1;2.708;51;85;1
877;12;0;0;1;0;6;0;1.2809;24;85;1
878;18;0;0;0;1;23;1;2.4849;47;85;1
879;16;0;0;1;1;6;0;2.3632;28;85;1
880;16;0;0;1;1;16;0;2.6391;38;85;1
881;16;0;0;0;0;3;1;1.6094;25;85;1
882;12;0;0;0;0;19;1;2.4423;37;85;1
883;12;0;0;0;1;43;1;2.6181;61;85;1
884;12;1;0;0;1;34;0;2.3632;52;85;1
885;12;1;0;1;0;25;0;2.0082;43;85;1
886;10;1;1;0;1;41;1;1.9095;57;85;1
887;17;1;1;1;0;6;0;1.7707;29;85;1
888;12;1;1;0;0;2;0;1.2321;20;85;1
889;8;1;1;1;1;37;0;1.4702;51;85;1
890;12;1;1;0;1;19;1;2.5649;37;85;1
891;5;1;0;0;1;44;0;2.6391;55;85;1
892;10;1;1;1;1;37;0;1.2566;53;85;1
893;13;1;0;0;0;8;0;1.4586;27;85;1
894;18;1;0;0;1;12;0;1.767;36;85;1
895;12;0;0;0;0;8;0;1.7918;26;85;1
896;16;0;0;0;1;13;1;2.3979;35;85;1
897;13;0;0;0;0;32;0;3.0564;51;85;1
898;16;0;0;0;1;18;0;2.6759;40;85;1
899;12;0;1;0;0;8;0;1.9242;26;85;1
900;16;0;0;1;0;0;0;2.3026;18;85;1
901;16;0;0;1;1;7;0;2.3026;29;85;1
902;16;1;0;1;0;5;0;3.2179;27;85;1
903;12;1;0;1;1;17;0;1.3218;35;85;1
904;11;1;0;0;1;39;0;1.8718;56;85;1
905;12;1;0;0;0;4;0;1.6094;22;85;1
906;8;1;0;1;0;45;0;1.5151;59;85;1
907;12;0;0;0;0;8;0;1.8718;26;85;1
908;16;0;0;0;0;9;0;2.3585;31;85;1
909;12;0;0;0;1;23;0;2.2576;41;85;1
910;16;0;0;1;1;14;0;2.4849;36;85;1
911;12;0;0;1;0;16;0;2.1401;34;85;1
912;12;0;0;1;1;15;0;1.411;33;85;1
913;12;0;0;1;0;15;0;1.5041;33;85;1
914;16;0;0;0;1;16;0;2.4423;38;85;1
915;14;0;0;0;0;13;0;2.1861;33;85;1
916;11;0;0;0;0;15;1;2.6539;32;85;1
917;16;0;0;0;1;11;0;2.6137;33;85;1
918;18;0;0;1;0;40;0;3.1001;64;85;1
919;18;0;0;1;1;11;0;2.708;35;85;1
920;13;1;0;0;1;17;0;2.0869;36;85;1
921;12;1;0;0;1;12;0;1.9095;30;85;1
922;11;1;1;0;1;14;0;1.5041;31;85;1
923;12;1;0;1;1;26;0;1.9459;44;85;1
924;12;1;1;1;1;27;0;2.0149;45;85;1
925;12;1;0;1;1;16;0;2.0149;34;85;1
926;12;1;1;0;0;2;0;2.1401;20;85;1
927;7;1;0;0;1;44;0;2.0794;57;85;1
928;8;1;0;0;1;8;0;1.2528;22;85;1
929;12;1;0;0;1;9;0;2.5257;27;85;1
930;12;1;0;0;0;1;1;1.7918;19;85;1
931;16;1;0;1;0;2;0;1.6582;24;85;1
932;12;1;0;0;0;6;0;1.6094;24;85;1
933;11;1;0;1;1;17;0;1.2528;34;85;1
934;14;1;0;0;1;14;1;2.3979;34;85;1
935;12;0;0;0;0;3;0;2.0149;21;85;1
936;12;0;0;0;1;13;0;2.1401;31;85;1
937;12;0;0;0;0;11;0;2.5257;29;85;1
938;12;0;0;0;1;24;1;2.3749;42;85;1
939;12;0;0;1;1;14;1;2.5257;32;85;1
940;17;0;0;0;1;7;0;2.0541;30;85;1
941;17;0;0;0;1;13;0;2.4849;36;85;1
942;12;1;1;1;1;10;0;1.209;28;85;1
943;12;1;0;0;1;13;1;2.9895;31;85;1
944;13;1;0;0;1;7;0;1.7918;26;85;1
945;8;1;0;1;1;39;0;1.4398;53;85;1
946;14;1;0;1;1;6;0;1.2528;26;85;1
947;12;1;0;0;1;20;1;2.4849;38;85;1
948;12;0;0;1;1;7;0;1.209;25;85;1
949;12;0;0;0;1;20;1;2.1972;38;85;1
950;14;0;0;1;0;6;0;1.3813;26;85;1
951;12;0;0;1;1;39;0;1.6094;57;85;1
952;16;0;0;0;1;15;0;2.539;37;85;1
953;15;0;0;0;1;31;0;2.8478;52;85;1
954;12;0;0;1;0;25;0;2.2513;43;85;1
955;11;0;0;0;1;13;1;2.6391;30;85;1
956;12;0;1;0;1;8;1;2.1401;26;85;1
957;12;0;0;1;1;2;0;1.4469;20;85;1
958;16;0;0;0;1;14;0;1.7579;36;85;1
959;13;0;0;0;1;14;0;2.4204;33;85;1
960;18;0;0;1;1;18;1;2.4849;42;85;1
961;12;0;0;1;1;28;0;2.4204;46;85;1
962;16;0;0;0;1;10;1;2.0149;32;85;1
963;14;1;1;0;0;17;0;2.1041;37;85;1
964;12;1;0;1;1;14;0;1.579;32;85;1
965;12;1;0;1;1;2;0;1.5581;20;85;1
966;16;1;0;0;1;29;0;1.7047;51;85;1
967;11;1;0;0;1;29;0;2.2513;46;85;1
968;12;1;0;1;1;14;0;2.2618;32;85;1
969;13;0;0;1;1;33;0;1.5151;52;85;1
970;16;0;0;0;1;4;0;2.7558;26;85;1
971;15;0;0;0;1;13;0;2.2885;34;85;1
972;14;0;0;1;0;24;0;2.3026;44;85;1
973;13;0;0;0;0;5;0;1.7579;24;85;1
974;14;1;0;0;0;1;0;2.0186;21;85;1
975;11;1;0;0;1;37;1;2.2773;54;85;1
976;11;1;0;0;1;18;1;2.5649;35;85;1
977;15;1;0;1;1;10;0;2.3302;31;85;1
978;12;1;0;0;1;16;1;2.599;34;85;1
979;12;0;0;0;1;12;1;2.5313;30;85;1
980;14;0;0;1;0;4;0;2.1552;24;85;1
981;12;0;0;0;1;16;1;2.5848;34;85;1
982;14;0;1;0;1;34;1;1.9242;54;85;1
983;13;0;0;0;1;10;1;2.5233;29;85;1
984;14;0;0;0;1;17;0;1.9661;37;85;1
985;13;0;0;1;1;16;0;2.5257;35;85;1
986;10;0;0;0;1;20;0;2.3026;36;85;1
987;10;0;0;0;1;12;0;2.3026;28;85;1
988;12;0;0;0;1;30;0;2.1691;48;85;1
989;16;0;0;1;1;26;0;2.238;48;85;1
990;13;0;0;0;1;13;0;2.4079;32;85;1
991;8;0;0;1;1;21;0;1.6292;35;85;1
992;11;0;1;0;0;3;0;2.0149;20;85;1
993;8;0;1;1;1;29;0;1.2238;43;85;1
994;12;0;0;1;1;3;0;1.5041;21;85;1
995;18;0;1;0;1;27;0;1.8326;51;85;1
996;12;0;0;0;1;33;0;3.0229;51;85;1
997;13;0;0;0;0;17;0;2.1282;36;85;1
998;12;0;0;1;1;15;0;2.0794;33;85;1
999;9;0;0;0;1;38;0;2.1401;53;85;1
1000;12;0;0;0;0;9;0;1.3218;27;85;1
1001;12;0;0;0;1;10;0;2.1972;28;85;1
1002;16;0;0;1;0;6;0;2.4891;28;85;1
1003;12;0;0;1;1;7;0;1.5041;25;85;1
1004;9;0;1;0;0;16;0;1.5686;31;85;1
1005;10;0;0;0;1;30;0;1.8718;46;85;1
1006;12;0;0;0;1;19;0;2.0398;37;85;1
1007;12;0;0;1;0;15;0;2.2336;33;85;1
1008;12;0;1;0;1;12;0;1.6094;30;85;1
1009;12;0;1;1;1;33;0;1.8083;51;85;1
1010;12;0;1;0;0;36;0;2.3674;54;85;1
1011;12;0;1;1;0;25;0;1.2528;43;85;1
1012;12;0;1;0;1;35;1;2.3026;53;85;1
1013;13;0;1;0;0;8;1;2.1972;27;85;1
1014;12;1;1;1;1;23;0;2.0149;41;85;1
1015;18;1;0;0;0;7;0;1.743;31;85;1
1016;17;1;0;0;0;3;0;2.1401;26;85;1
1017;12;1;1;0;1;8;0;1.3863;26;85;1
1018;9;1;1;1;1;34;1;1.7492;49;85;1
1019;12;0;0;0;0;2;0;1.6582;20;85;1
1020;12;0;0;0;1;34;0;1.2528;52;85;1
1021;11;0;0;0;0;2;0;1.5041;19;85;1
1022;12;0;0;1;0;11;0;1.7047;29;85;1
1023;13;0;0;1;1;4;0;1.8326;23;85;1
1024;16;0;0;1;1;22;1;2.1848;44;85;1
1025;12;0;0;1;1;45;0;1.6582;63;85;1
1026;14;0;0;1;1;26;0;2.3273;46;85;1
1027;14;0;0;1;1;12;0;1.8326;32;85;1
1028;12;0;0;1;1;3;0;1.4702;21;85;1
1029;13;0;0;0;0;36;0;2.8824;55;85;1
1030;12;0;0;1;1;9;1;2.0149;27;85;1
1031;16;0;0;1;1;7;0;1.8326;29;85;1
1032;14;0;0;0;1;14;0;1.5041;34;85;1
1033;12;0;0;1;0;6;0;1.8563;24;85;1
1034;15;0;0;0;1;1;1;1.5766;22;85;1
1035;11;0;0;0;1;4;0;1.4231;21;85;1
1036;12;0;0;1;1;5;0;1.6351;23;85;1
1037;8;0;0;1;1;38;0;1.6601;52;85;1
1038;16;0;0;1;1;6;0;2.0513;28;85;1
1039;13;0;0;0;0;9;1;2.5703;28;85;1
1040;13;0;0;1;1;15;0;2.0794;34;85;1
1041;15;0;0;1;1;11;0;2.0369;32;85;1
1042;12;0;0;0;0;17;0;2.0149;35;85;1
1043;12;0;0;0;0;1;0;1.0473;19;85;1
1044;12;0;0;0;1;9;0;1.8506;27;85;1
1045;9;0;0;0;0;48;0;1.2528;63;85;1
1046;12;0;0;0;1;17;1;2.4292;35;85;1
1047;12;0;0;1;1;33;0;1.7047;51;85;1
1048;12;0;0;0;1;7;0;2.2138;25;85;1
1049;14;0;0;1;1;12;0;2.0744;32;85;1
1050;16;0;0;1;1;6;0;1.7317;28;85;1
1051;4;0;0;0;1;54;0;1.7918;64;85;1
1052;16;1;1;0;0;16;0;2.599;38;85;1
1053;11;1;0;1;1;8;0;1.2947;25;85;1
1054;9;1;0;0;0;30;1;1.8326;45;85;1
1055;13;1;0;0;0;1;1;1.639;20;85;1
1056;17;1;0;0;1;32;0;3.2692;55;85;1
1057;13;1;0;0;0;0;0;0.6981;19;85;1
1058;12;1;0;1;0;26;0;1.6094;44;85;1
1059;11;0;0;1;0;36;0;2.1691;53;85;1
1060;14;0;0;1;1;19;0;2.5257;39;85;1
1061;12;0;0;0;0;12;0;1.3863;30;85;1
1062;16;0;0;0;1;21;0;1.5041;43;85;1
1063;12;0;0;1;0;11;0;1.8718;29;85;1
1064;12;0;0;0;1;10;0;1.7047;28;85;1
1065;17;0;0;1;1;15;0;1.9279;38;85;1
1066;16;0;0;1;0;16;0;1.8165;38;85;1
1067;12;0;0;0;1;23;0;2.0513;41;85;1
1068;12;0;0;0;1;24;0;0;42;85;1
1069;17;0;0;1;1;13;1;2.5257;36;85;1
1070;14;0;1;1;1;19;1;2.1804;39;85;1
1071;11;0;0;1;1;20;0;1.4702;37;85;1
1072;18;0;0;0;0;5;0;2.4304;29;85;1
1073;8;0;0;0;1;47;1;2.1894;61;85;1
1074;11;0;0;1;1;33;0;1.2528;50;85;1
1075;14;0;0;0;1;21;1;3.2581;41;85;1
1076;12;0;0;1;1;19;0;2.0794;37;85;1
1077;14;0;0;0;1;20;1;2.7726;40;85;1
1078;12;0;0;1;1;13;0;1.6771;31;85;1
1079;17;0;1;1;1;25;1;3.1463;48;85;1
1080;12;0;1;1;1;18;0;2.1552;36;85;1
1081;14;0;0;1;0;13;0;2.9178;33;85;1
1082;18;0;0;0;1;8;0;3.1001;32;85;1
1083;12;0;1;0;0;14;1;2.7887;32;85;1
1084;12;0;0;0;0;9;0;2.9689;27;85;1
